pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
RbTlO,mp-1206230,12,-3.70536821,6.2663520711005125,-1.1760840362499998,162.0964471917865,1.2421000000000002,6.548529423414466,7.096236278856843,2.0,1.0,-1
NbH,mp-1206371,67,-6.891539365,7.347911280590665,-0.22101851430999986,42.44700060141111,0.0,3.0234153246022952,4.826136,2.0,1.0,-1
Pb2IO2,mp-1206488,139,-4.670496946,8.222739105451078,-1.1823694075,115.77559066825138,0.0,7.522556093050885,7.522556093050885,2.0,1.0,-1
Tl2NiF4,mp-1206532,139,-4.105320478571429,7.565529533697256,-2.1022285963942857,119.28126787686944,0.0,7.6035195805073075,7.6035195805073075,2.0,1.0,-1
Tl2CoF4,mp-1206757,139,-4.316594697142857,7.3279233568140265,-2.082334084251429,123.20327328004521,0.0,7.6234695628150835,7.6234695628150835,2.0,1.0,-1
Ba(GaH)2,mp-1206799,164,-3.383525344,5.202159540578896,-0.4925983124480002,88.9899325390823,0.0,4.570458229557514,4.919158,2.0,1.0,-1
Y2CI2,mp-1206803,164,-6.02684546,5.0768647157909035,-0.9852958286666664,145.10277749706498,0.5638999999999998,3.8784973101872846,11.138278,2.0,1.0,-1
RhI3,mp-1206891,12,-3.26657671,5.615718481343817,-0.28249028124999986,286.00724771706825,1.0586000000000002,6.930371884749692,7.250709121650653,2.0,1.0,-1
Y3Pd,mp-1207777,62,-6.617843364375,5.504160610762804,-0.4730195768750001,450.2844468446869,0.0,6.5279690000000015,9.730905,2.0,1.0,-1
TlSn2I5,mp-1208036,140,-2.769414681875,5.737746276435058,-0.5193072112499997,622.9905276742561,1.5673999999999997,10.096280695124172,10.096280695124172,2.0,1.0,-1
TlHg5Br11,mp-1208065,12,-1.790544646470588,5.5660016540642,-0.503118367352941,622.4117734282672,2.1821,6.9600815558132645,10.189875658856296,0.0,1.0,-1
TlCSN,mp-1208088,57,-5.981582311875,4.735882495153837,-0.2281083782512497,368.1126370331183,2.2447,6.801423,7.850722,0.0,1.0,-1
TlCuAs2PbS5,mp-1208124,2,-4.2932961275,5.352015332902032,-0.6076268410624998,487.29949244978513,1.3425000000000002,8.02616,9.123508185140297,2.0,1.0,-1
Tl2CoI4,mp-1208175,11,-2.8779455792857145,5.565687095145682,-0.31684926285714304,581.977777045905,0.1376999999999997,7.769525999999999,9.740044921612736,1.0,1.0,-1
TaInSe2,mp-1208590,187,-6.0270312625,8.139754519361155,-0.6267101836718759,92.55354395674415,0.0,3.4854367627390688,8.797272999999997,2.0,1.0,-1
SbSeBr,mp-1209072,62,-3.528251043333333,4.8293041761893365,-0.4409712907812497,385.9662576841497,1.4384,4.082368,10.866736,1.0,1.0,-1
RePbBrO4,mp-1209145,31,-6.818969355714287,6.57838791046456,-1.8508604028571416,271.2585311975452,2.9667,4.679803,9.837599,2.0,1.0,-1
NbFeSe5,mp-1209948,11,-5.584963771428571,5.8584494333820665,-0.4348401559598218,308.1321470665252,0.0,3.4702260000000003,10.30049105952454,2.0,1.0,-1
KHg5Br11,mp-1211303,12,-1.8241842176470588,5.1470101344330725,-0.6103611169411766,619.7545132945697,2.1405,6.990652792468025,10.150550953122544,1.0,1.0,-1
ZrTi2O,mp-1215204,65,-8.74628692,5.6155672187436085,-1.600199386979166,60.01507566869892,0.0,3.032517,4.8326322916988005,2.0,1.0,-1
Zr4O,mp-1215377,148,-8.930596495333331,6.5438032412734675,-1.243302897583333,289.9651786589231,0.0,10.948259626311755,10.948260064632418,2.0,1.0,-1
Zr3TiCu2,mp-1215384,99,-7.072523343333334,6.653058099399072,-0.11635546888888965,111.97396608562799,0.0,3.1745650000000003,11.110884,2.0,1.0,-1
ZnAg,mp-1215437,65,-2.06250432,8.610236049105017,-0.016354513333333376,33.417615766872004,0.0,2.8413226476164235,4.524637,2.0,1.0,-1
ZnCu,mp-1215462,65,-2.731922375,8.191559501478206,-0.052447234999999814,26.140909468430447,0.0,2.591155082460716,4.140746,2.0,1.0,-1
Zr2SiTe2As,mp-1215465,115,-6.422076181666667,6.203738281679858,-0.8443369241666675,144.71579462946457,0.0,3.752524,10.277062,2.0,1.0,-1
YBiTe3,mp-1215930,160,-4.764552136,6.376598920494423,-0.8072704933333334,177.25846086848026,1.0982000000000005,10.840093554031718,10.840093774501076,2.0,1.0,-1
VFe,mp-1216347,65,-8.880568915,7.331959510292123,-0.10361443999999942,24.18496103075396,0.0,2.5140017408209965,4.02021600645637,2.0,1.0,-1
VCrFe2,mp-1216349,35,-8.9469326825,7.540173714442048,-0.027692857499999942,47.2664859017735,0.0,2.4801590872815003,8.0611954964355,2.0,1.0,-1
V4C3,mp-1216471,166,-9.58588193,5.726917903390932,-0.44074387571428375,69.5302638982621,0.0,9.544965645540325,9.544965733371704,2.0,1.0,-1
TlCoNiSe2,mp-1216559,119,-4.692735455999999,7.671084073782071,-0.2443493739375001,103.88914164042265,0.0,7.618848083660612,7.618848083660612,2.0,1.0,-1
TlIn3Se4,mp-1216567,97,-3.55075316125,6.0604619213601305,-0.475709401171875,236.91765665445664,0.4851000000000005,6.794536123477013,6.794536123477013,1.0,1.0,-1
Tl4BrCl3,mp-1216569,47,-3.012759035,6.805707416987635,-1.1571226112225004,244.91837554521413,2.3462,3.9441,11.138552,2.0,1.0,-1
TlSbSe2,mp-1216592,38,-3.6665510775,6.403726340190767,-0.2959317836718749,125.52160689823765,0.3181000000000003,4.167138,7.5372021955153885,2.0,1.0,-1
TlIn3,mp-1216611,123,-2.6387218375,7.915953094966258,0.015454205000000162,115.130265038685,0.0,3.292527,10.620154,2.0,1.0,-1
TlCoNiS2,mp-1216615,119,-5.035171818,6.898240919318472,-0.59595438025,92.95128835304158,0.0,7.248311589299537,7.248311589299537,2.0,1.0,-1
Tl2GaCu3Se4,mp-1216617,21,-3.716841492,7.297958424943856,-0.31357475368749943,224.1143459443351,0.29239999999999977,5.652485,7.5445403794760075,2.0,1.0,-1
TlIn2GaSe4,mp-1216619,23,-3.60870736625,6.00371741018108,-0.499112134609375,226.68429149179974,0.3957999999999999,6.7117926389536215,6.7117926389536215,2.0,1.0,-1
Tl2Cu2SnTe4,mp-1216636,42,-3.458013228888889,7.300565590025058,-0.1797360205555556,264.97616490226875,0.22360000000000024,6.982915781454334,8.584208119125725,2.0,1.0,-1
TlFeCuSe2,mp-1216642,119,-4.57818271,7.584289180002942,-0.1936456129375003,105.4643598529335,0.0,7.445748726784835,7.445748726784835,2.0,1.0,-1
Tl2FeCu3Te4,mp-1216651,21,-3.930562705,7.4874560414356734,-0.12414944800000001,258.5132637914656,0.0,5.85789,8.093888962193699,2.0,1.0,-1
TiMo2,mp-1216675,69,-9.950038336666667,8.249541766606878,-0.08777897777777828,48.258348265069344,0.0,2.7896560398479235,7.034522210874312,1.0,1.0,-1
Tl3In5Se8,mp-1216699,89,-3.54852181375,6.361852727360501,-0.4978549755468746,474.7653997044519,0.5379,6.962636,8.257578,1.0,1.0,-1
Tl2Fe3Se4,mp-1216741,21,-5.098565183333333,7.016711149085674,-0.19668068215277795,211.12968002567288,0.0,5.5133440998234455,7.457160742864069,2.0,1.0,-1
Tl2Co3NiSe4,mp-1216747,21,-4.814912521,7.812887385906747,-0.2337083274374997,204.05808889486732,0.0,5.448675,7.390661485842861,2.0,1.0,-1
TlCNO,mp-1216754,46,-6.69620668375,5.503270116138754,-0.7495638496575001,148.6959511088736,2.773,5.812634814512005,5.812634814512005,0.0,1.0,-1
TiVSe4,mp-1216764,10,-6.0479956716666665,5.1441905198687365,-0.8874883387847223,133.84808173369504,0.0,3.467788,6.4348915110653575,2.0,1.0,-1
Tl3(SO4)2,mp-1216815,12,-5.447238648461538,6.327031507617687,-1.7552184620192308,211.34567787441173,0.0,5.80177440782292,7.866113101085694,2.0,1.0,-1
Ti2C,mp-1217106,166,-8.97363792,4.5082799811594265,-0.6343830088888893,39.68570814519028,0.0,5.1331030420900365,5.133103415731462,2.0,1.0,-1
TePdSe,mp-1217263,156,-4.248045156666667,7.4517859887862565,-0.3083470841145832,69.74375241674365,0.0,3.9701941195525934,5.10918,2.0,1.0,-1
TeSe2,mp-1217269,5,-3.383305383333333,5.139526760089229,-0.004930754895832834,92.24917709882702,0.8972999999999995,4.4756363355059365,5.35283480479269,1.0,1.0,-1
TeSe,mp-1217322,1,-3.326424315,5.450631189129453,-0.006818111171874956,188.78599800384487,0.9465000000000005,4.398765,11.035667423985467,0.0,1.0,-1
TePb3(ClO2)2,mp-1217378,38,-4.982278368999999,7.185074901401852,-1.6051177721519998,204.324740781097,2.0872,5.637003,7.006054357874197,2.0,1.0,-1
TaTiSe4,mp-1217829,10,-6.583618815,6.474556366020447,-0.9607995554513892,139.68844426173902,0.0,3.511875,6.500966625631299,2.0,1.0,-1
TaSeS,mp-1217890,156,-7.39662089,7.420853309436703,-1.1210612318229174,65.33377677890199,0.0,3.4333277683170587,6.39995,2.0,1.0,-1
TaMoS4,mp-1217910,6,-7.482815363333334,5.729534409184022,-1.3835853420833348,117.42034071944448,0.0,3.279774,6.578399627822332,2.0,1.0,-1
TaMoS4,mp-1217917,8,-7.4819376800000015,5.686341796576728,-1.3827076587500011,118.31224828855413,0.0,5.690754400772714,6.610762812016553,2.0,1.0,-1
TaNbTe4,mp-1217942,1,-6.1618845094444445,7.883234208602523,-0.4065034444444449,495.5903132205681,0.0,7.35455241275042,9.919433639061634,2.0,1.0,-1
TaNb2FeSe10,mp-1217949,6,-6.0056508921428575,6.2317334793797325,-0.6135433659598216,323.0104157428133,0.0,3.541356,10.173585401108351,2.0,1.0,-1
Ta2MoS6,mp-1218002,8,-7.568594422222222,5.970823522983628,-1.4131347009722228,180.83356046841183,0.0,5.7147860724100585,6.6722979048295645,2.0,1.0,-1
Ta2FeS4,mp-1218020,164,-7.815357912857142,7.952165677742201,-1.2328553975000005,114.01366987498562,0.0539000000000005,3.3237720100567967,11.916915,2.0,1.0,-1
Ta4MoSe10,mp-1218047,8,-6.997571906666668,7.5892524302773525,-0.7818473515625006,352.1239917398684,0.007099999999999884,9.919758978075272,10.511970298908052,2.0,1.0,-1
Ta2NiS4,mp-1218077,164,-7.4532795,7.597020898613432,-1.2550435846428567,119.96616621351338,0.0,3.350504364179817,12.339791,2.0,1.0,-1
SrIn3Au,mp-1218236,107,-3.0628807680000003,7.6586594948770665,-0.4191979713333335,136.38763284873778,0.0,7.260036600205469,7.260036600205469,2.0,1.0,-1
