pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
Li10Zn(PS4)4,mp-1147687,7,-4.357934185806451,2.01060544114465,-1.2105163279877116,1274.7680079698878,2.5782000000000003,7.911964999999999,17.9103104308338,3.0,-1.0
Li10Zn(PS4)4,mp-1147692,1,-4.34995299983871,2.0089549783069898,-1.2025351420199697,1275.8152973549215,2.5379000000000005,10.23602801887292,13.994670090130956,3.0,-1.0
Li10Zn(PS4)4,mp-1147694,1,-4.3597684,2.0477039909708106,-1.21235054218126,625.8364256559968,2.6989,6.16184,13.058767809651911,3.0,-1.0
Li10Zn(PS4)4,mp-1147695,1,-4.359789731935484,2.0229005081103524,-1.2123718741167442,633.5100225506404,2.7281,6.156322,12.996507175481955,3.0,-1.0
Li10Zn(PS4)4,mp-1147696,1,-4.358355820645161,2.0196390245109095,-1.2109379628264212,634.5330680174571,2.5226999999999995,6.1788870000000005,13.00067592350494,3.0,-1.0
Li10Zn(PS4)4,mp-1147697,1,-4.357512397419355,2.0077955629030924,-1.210094539600615,638.2760128514864,2.5250000000000004,6.184183,10.278751222303127,3.0,-1.0
Li10Zn(PS4)4,mp-1147698,1,-4.359609782903226,2.0427446525269652,-1.2121919250844857,627.355819987283,2.7306000000000004,6.5286800000000005,12.366699180846275,3.0,-1.0
Li4Zn(PS4)2,mp-1147721,4,-4.318955912000002,2.1802610847518467,-1.15189419636508,627.0305664566723,2.7266,5.76335,11.4944808197876,3.0,-1.0
Li4Zn(PS4)2,mp-1147723,1,-4.319127862888888,2.1889589379859458,-1.1520661472539675,936.8085800548946,2.7069000000000005,6.408722,18.473987565224594,3.0,-1.0
Li4Zn(PS4)2,mp-1147725,1,-4.318373477111111,2.178908435104722,-1.1513117614761907,941.1297333357322,2.6577999999999995,6.377711,18.41846428977544,3.0,-1.0
Li4Zn(PS4)2,mp-1147726,1,-4.317982983777777,2.1609073232804,-1.150921268142857,948.9696723226816,2.3984999999999994,6.140381,19.09873334806018,3.0,-1.0
Li4Zn(PS4)2,mp-1147727,1,-4.318295290888889,2.188364685889044,-1.1512335752539684,937.0629711381924,2.6417,6.406675,18.44270296633232,3.0,-1.0
Li4Zn(PS4)2,mp-1147729,1,-4.318416067111111,2.166460683513048,-1.15135435147619,946.5371470152202,2.6757000000000004,10.247515,10.281354019698911,3.0,-1.0
Li4Zn(PS4)2,mp-1147732,1,-4.318557024,2.180058196663361,-1.1514953083650792,940.6333820040393,2.6416000000000004,6.377077,18.42789303292943,3.0,-1.0
Li4Zn(PS4)2,mp-1147734,1,-4.318203085666667,2.1612481752232027,-1.1511413700317468,632.5466731067123,2.7447,5.746727,11.529040820068117,3.0,-1.0
K2Mg(PSe3)2,mp-11643,14,-3.96131994590909,3.1948709094540653,-0.7228546247459413,663.4203466102833,1.791,6.580989999999999,13.041087,3.0,-1.0
P2H24AuC8I,mp-1173391,63,-4.921472978333333,1.774640476846571,-0.2772398852506339,947.110211793352,3.1233,7.856265,11.754472790566235,0.0,1.0
Os(OF2)2,mp-1173465,169,-5.469418118809523,3.21020796904727,-1.840722986989524,925.5661410691984,2.0344,9.523586509979998,11.783539999999999,0.0,1.0
Li7NbS6,mp-1176851,7,-4.59563314,2.037161729997208,-1.4312256894345237,544.3125972911466,2.3424,7.134586,12.243296116352735,3.0,-1.0
Li5SbS,mp-1177072,14,-3.4008168691071434,2.297648923851912,-0.9513018062202384,1090.023552253627,1.2977,8.028121,15.880895800946051,3.0,-1.0
Cs6Br4O,mp-1178399,167,-3.1071990831818184,3.720569094985385,-1.6375821867123823,1011.3886372130064,1.8138,10.039813618882077,10.039814068126807,3.0,-1.0
Cs2MgO2,mp-1178409,14,-4.2341919607500005,4.202925265140574,-1.8577088144224136,1018.1176506231261,2.0297,6.783987,16.712568409658644,3.0,-1.0
Cs5YO4,mp-1178475,14,-4.69096099475,4.525476620705515,-1.898346509882184,1199.7636855776684,1.93,7.574574,13.435436,3.0,-1.0
BaSrI4,mp-1178504,62,-3.3457381629166663,3.765558653325564,-1.7283210723611109,1292.188186722124,4.0608,10.26861,11.218411999999999,3.0,-1.0
BaSrI4,mp-1178508,52,-3.33534448,3.971559913111384,-1.7179273894444442,1225.1635414520565,3.7429,10.371915,10.959937,3.0,-1.0
BaSr2I6,mp-1178509,15,-3.292214848888889,3.840063525408748,-1.6875471792592591,928.8433295942084,3.6641,8.974789863662435,13.730002924973473,3.0,-1.0
BaSr2I6,mp-1178512,64,-3.3087603172222213,4.349607779599248,-1.7040926475925928,820.0319595535042,3.2443,8.166155999999999,12.949158696960392,3.0,-1.0
BaSr2I6,mp-1178516,15,-3.3334781622222223,4.121127770561465,-1.7288104925925931,865.4954637108937,3.8956,10.273996248234472,12.023128198732474,3.0,-1.0
BaSrI4,mp-1178528,62,-3.3462214675,3.7401706072002137,-1.7288043769444446,1300.959479995211,3.6089,10.294089,11.252343,3.0,-1.0
BaCaI4,mp-1178538,62,-3.3380743120833336,3.7324900954832887,-1.6679707837500002,1219.0331115748693,3.2671,9.926233,11.082908999999999,3.0,-1.0
Ba2SrI6,mp-1178555,15,-3.3595544166666667,3.9215788525270456,-1.7293879051851857,951.6315652192208,3.8569,9.102612555191447,13.825537341869431,3.0,-1.0
